pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_adduction_r,knee_rotation_r,ankle_angle_r,ankle_adduction_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_adduction_l,knee_rotation_l,ankle_angle_l,ankle_adduction_l,Left_pressure1,Left_pressure2,Left_pressure3,Left_pressure4,Left_pressure5,Left_pressure6,Left_pressure7,Left_pressure8,Left_pressure9,Left_pressure10,Left_pressure11,Left_pressure12,Left_pressure13,Left_pressure14,Left_pressure15,Left_pressure16,Left_totalForce,Left_cop_x,Left_cop_y,Right_pressure1,Right_pressure2,Right_pressure3,Right_pressure4,Right_pressure5,Right_pressure6,Right_pressure7,Right_pressure8,Right_pressure9,Right_pressure10,Right_pressure11,Right_pressure12,Right_pressure13,Right_pressure14,Right_pressure15,Right_pressure16,Right_totalForce,Right_cop_x,Right_cop_y,Left_GRF_ML,Left_GRF_V,Left_GRF_AP,Right_GRF_ML,Right_GRF_V,Right_GRF_AP,Left_GRM_y,Left_GRM_x,Left_GRM_z,Right_GRM_y,Right_GRM_x,Right_GRM_z,time
-5.271367094,0.806617495,191.9515688,0,1.053636709,0,-8.622538516,1.641028813,-1.715258359,-27.44810483,0.467331749,1.344769627,-10.70620966,7.116805639,22.3952955,3.165609719,-0.578320201,-8.31143202,2.994958638,-4.86083162,17.38023995,3.756929092,-0.775128027,-0.357587725,-0.197444617,-0.158207566,0.031860899,0.045688056,0.004987497,0.282643261,-0.015151979,0.144482901,0.002697743,0.98951345,0.370530226,0.610549588,-0.02087942,0.550034483,3.46541773,0.006063541,0.000796016,0.768350222,0.837304858,-0.051949462,-0.014715317,0.196388455,-0.007958141,3.266360473,0.013258841,15.43884142,14.19967366,7.925991205,5.522533644,5.993180348,35.18974568,15.04336849,-0.016806886,291.1676349,0.293059125,0.061458191,-9.810392426,781.2628893,-21.96738883,11.04360204,-6.188337577,-14.9127434,69.21839537,11.49665326,184.7014881,4.720313065,4.361304041,0.615159494,4729
-5.46356326,0.309938921,191.9950406,0,1.051116908,0,-7.637720205,1.870975012,-1.573271552,-30.89866299,0.401434561,1.623828182,-11.44776833,7.602178209,22.23072093,3.035750342,-1.526143967,-7.24101239,2.548029201,-3.405380745,17.32104785,3.407265018,-1.826885138,-1.309435888,-0.581057422,-0.783242723,0.025521743,-0.089650796,0.008908589,0.285330035,-0.004239699,0.087055775,0.007948995,1.389402221,0.22911604,0.322884153,0.002857353,0.898814417,-4.714232561,0.01081515,0.001627238,0.690391406,1.009607065,-0.018016925,-0.00153162,0.16337894,0.024493337,2.599753796,0.007022092,13.875736,12.01599443,6.799031701,4.677822688,5.644858409,29.97451386,12.78734276,-0.161016988,251.6275382,0.292029813,0.059621747,-49.76501178,995.2277594,-9.643185943,13.32431987,-1.979350928,-14.44716713,91.90081874,14.5953077,233.1876804,3.410570381,4.765630803,3.20432323,4730
-5.581026326,-0.102450069,192.1874331,0,1.047792867,0,-6.565797079,1.991620126,-1.501427199,-34.65097522,0.420756044,1.644594385,-11.9046104,8.198111838,22.19572546,3.145156698,-2.570360265,-7.163707929,1.949206171,-1.852243909,16.89910287,2.984938543,-2.93274663,-2.245905992,-1.073991159,-1.54277558,-0.019525069,-0.383757486,0.01082752,0.174138323,0.031601756,0.04617371,0.014657602,1.661314565,0.095202013,0.119951354,0.044057317,1.169401274,-14.90663524,0.013119719,0.002308515,0.643467165,1.184221377,0.004028963,0.003611335,0.097229995,0.113129116,1.867163051,0.002288904,12.30850748,9.837102623,5.919390669,3.916858312,5.273389205,25.35795871,10.51186826,-0.152340849,214.4365126,0.29089017,0.05700973,-93.29561682,1110.246227,23.48664901,12.97896521,2.489585565,-14.50277036,107.0584098,13.78390537,256.4143668,2.117814544,4.762027402,6.232535356,4731
-5.599695365,-0.405861231,192.4435749,0,1.043160385,0,-5.450553907,1.973796476,-1.531531158,-38.62776763,0.536929189,1.380439116,-12.10296366,8.923535353,22.27334775,3.512487049,-3.669196593,-8.086800462,1.166296316,-0.269481756,16.07992631,2.557712622,-3.032404598,-2.030869317,-1.363488346,-1.998061647,-0.128581345,-0.825563376,0.004971532,-0.038835126,0.101492588,0.021906283,0.018497439,1.718631377,0.056613962,-0.007279693,0.105640419,1.268490157,-19.17823119,0.005964651,0.001842749,0.646504558,1.296010893,0.030269155,0.004080289,0.038718107,0.258347552,1.176538352,-0.000192706,10.71096978,7.921233648,5.149138683,3.217989317,4.825626276,21.29342379,8.324491674,-0.093680498,180.2207899,0.287260254,0.054389909,-128.5419394,1162.004012,67.07304244,10.24172038,5.643390456,-14.77074434,117.4288249,9.676307749,261.0086504,1.266103116,4.418681259,8.617936004,4732
-5.527657138,-0.576978279,192.8451444,0,1.037874046,0,-4.297996045,1.808123307,-1.671255236,-42.7960814,0.725025494,0.877583268,-12.0516596,9.695584985,22.46851714,4.10921521,-4.731875711,-9.942027998,0.239334658,1.226506661,14.97742963,2.134227559,-0.133189021,1.491661612,-0.763687427,-1.176701734,-0.307174629,-1.228395768,-0.017095339,-0.315238088,0.195892879,-0.006583704,0.010068045,1.548342029,0.160744499,-0.128395562,0.169708906,1.192993553,-1.045008056,-0.020882227,-0.001432954,0.783303375,1.333124543,0.074433744,0.002752965,0.004233389,0.415871334,0.615595208,-0.000985088,9.037902027,6.378773678,4.390670724,2.525990979,4.236498048,17.57811272,6.366464974,-0.039068622,148.9065895,0.276843123,0.052381866,-148.883119,1207.265522,106.062891,6.149545744,6.353093326,-15.06116088,127.3395636,4.669882722,259.0164619,1.138910809,3.640466379,9.235691373,4733
-5.387548396,-0.584893581,193.2931087,0,1.031900964,0,-3.095985709,1.494372129,-1.917792444,-47.05600535,0.914739652,0.233635455,-11.75300518,10.33348788,22.7603507,4.859643023,-5.590113744,-12.53375681,-0.68671048,2.464564897,13.81777618,1.694277015,8.345837621,11.08448469,1.763872399,2.415495167,-0.498147912,-1.096254737,-0.062606441,-0.57365589,0.269607513,-0.067729668,-0.0247752,1.210732972,0.413871909,-0.31136262,0.185343927,1.041376445,63.11180599,-0.076163681,-0.009349482,1.086157797,1.315559611,0.135198019,0.001285951,-0.00930204,0.502281152,0.228988247,-0.000900758,7.310328542,5.200340477,3.638788385,1.796604202,3.480608151,14.11103551,4.74162511,-0.005811774,120.408663,0.254771634,0.050974246,-153.275843,1274.54164,129.2027319,2.266272656,4.289639654,-15.31237701,138.5653991,0.91536676,256.992348,1.794617199,2.528009544,7.671393444,4734
-5.20881668,-0.386757839,193.729209,0,1.025522868,0,-1.829582654,1.03120118,-2.269528509,-51.29572456,1.009625882,-0.450316475,-11.20198051,10.61591692,23.13616053,5.679203051,-6.029387702,-15.65067552,-1.381568198,3.257891154,12.88092327,1.209180839,24.08336848,28.54767874,7.202148525,10.21394534,-0.524092325,0.435602912,-0.127736587,-0.615153923,0.256870532,-0.181172796,-0.098972392,0.79403407,0.793293845,-0.563008665,0.096427764,0.919404563,193.6844206,-0.157029053,-0.022573593,1.448383475,1.270686927,0.185484739,0.000306208,-0.01061018,0.459699963,0.015941277,-0.000542429,5.674301038,4.3016595,2.962961487,1.074708512,2.618106177,10.94384427,3.453981149,0.007873288,95.06222676,0.217548188,0.048495145,-144.1658572,1361.922418,136.7658768,0.263838887,0.191117599,-15.5682517,150.6065144,-1.403713907,255.6675425,3.017703142,1.631131796,4.592717637,4735
-5.013147696,0.057021322,194.1562387,0,1.019231492,0,-0.486950951,0.414358847,-2.723757232,-55.43872498,0.923234011,-1.10934575,-10.39070879,10.36081718,23.59041712,6.505864595,-5.869457269,-19.13560933,-1.609820644,3.480977764,12.40219768,0.656807757,45.55113338,52.26378074,15.62385392,22.32513349,-0.048102068,4.384035204,-0.180871389,-0.062281312,0.127628263,-0.330529045,-0.208405359,0.39433374,1.30644584,-0.757500315,-0.081636546,0.858512748,389.1909928,-0.242548173,-0.039520767,1.685264203,1.186771589,0.186719975,-0.000146276,-0.007189507,0.316483548,-0.063950487,-0.000219723,4.32629462,3.587820121,2.436759736,0.481798062,1.785007134,8.200726979,2.455651095,0.009755316,73.5442564,0.165774476,0.042116105,-129.6037659,1452.689604,134.8311023,1.011504265,-4.338117421,-15.60721037,162.1078184,-2.275553822,252.9110261,4.320575265,1.366106138,1.386512622,4736
-4.797902667,0.751067246,194.4463854,0,1.012634,0,0.925055799,-0.350144665,-3.260112382,-59.40417826,0.619711185,-1.725075184,-9.321249961,9.499981581,24.08380064,7.305563006,-5.064628701,-22.86058215,-1.243105114,3.143922928,12.47206577,0.034070666,67.25128984,76.25376814,25.54349682,36.51330501,1.390725999,11.28856451,-0.143679855,1.603618634,-0.080487355,-0.422999633,-0.30421509,0.151518395,2.087977616,-0.563919216,-0.20944045,0.850183747,615.6667958,-0.304670283,-0.057306189,1.671930857,1.022850587,0.13210037,-0.000250185,-0.003374227,0.1573473,-0.068367559,-2.73e-05,3.377409661,3.006956187,2.065692967,0.105936057,1.132717637,6.001216351,1.72725692,0.00684641,56.47520484,0.106791272,0.030917821,-117.0177071,1529.295782,130.2270825,4.070218962,-7.564715225,-15.39344423,171.755039,-1.768165417,246.0272162,5.232317269,1.845772657,-0.731771889,4737
-4.517109265,1.646469527,194.6872016,0,1.006386773,0,2.358093516,-1.233080415,-3.828086206,-63.17858628,0.131931459,-2.310447657,-8.030343919,8.113652648,24.52805476,8.079169465,-3.793981487,-26.70967293,-0.355439868,2.425617236,13.05749577,-0.634888989,82.51585433,93.12221808,34.46322971,48.97904885,4.24370774,20.56482224,0.11424625,4.876234023,-0.281075795,-0.24986195,-0.260182145,0.294269181,3.450949181,0.564879001,-0.043279815,0.914120542,823.465056,-0.327894654,-0.073781852,1.412328092,0.788767841,0.064213296,-0.000194951,-0.000815328,0.044548504,-0.044931316,4.96e-05,2.783321683,2.550318591,1.769826316,-0.063432318,0.740534196,4.392241842,1.278603434,0.003334367,43.9023202,0.053351135,0.017802445,-108.1105523,1583.671487,127.4594278,8.189055036,-8.11560361,-15.13502283,178.9244921,-0.167583271,233.4722614,5.375439051,2.90074354,-1.100976938,4738
-4.0759432,2.635503047,194.8161554,0,1.000403918,0,3.714995325,-2.172092829,-4.343245768,-66.6966469,-0.451378432,-2.874715859,-6.590756779,6.393382782,24.72795971,8.828163189,-2.439467245,-30.47025813,0.764443974,1.629803329,14.01782654,-1.30140464,87.77125227,98.81150431,40.40667075,56.67977982,8.765933537,30.61253639,0.742094668,9.978354626,-0.33964,0.508967451,0.139821783,1.134599936,5.839846421,3.236981375,0.70916769,1.113651441,980.9467681,-0.314526355,-0.08806067,1.021588723,0.573810742,0.041056669,-0.000104535,0.000372104,-0.01093952,-0.020371753,5.82e-05,2.398327463,2.226224215,1.44757483,-0.09914658,0.564931261,3.316152614,1.092536546,0.000895441,35.2339338,0.016169745,0.007045738,-100.0021778,1613.387747,127.240982,11.83465162,-5.730067312,-14.98007481,183.2885247,1.758662057,214.9271549,4.679185747,4.061674617,0.458755813,4739
-3.353528885,3.590458189,194.818136,0,0.994915814,0,4.868867017,-3.089038508,-4.714029744,-69.88980084,-1.023597304,-3.410812706,-5.092401692,4.564570658,24.44174529,9.553940208,-1.465385162,-33.89659541,1.701105117,1.067325684,15.19612951,-1.908980703,84.18202256,94.49278269,42.97555395,58.96624501,14.85625261,39.66813245,1.831795663,16.60378397,-0.041072196,2.185858008,1.162654698,2.955209319,9.660238951,7.816209835,2.311495917,1.528637373,1090.722691,-0.275903159,-0.099622109,0.659260201,0.482297688,0.101794805,-3.48e-05,0.000649009,-0.026235021,-0.004392269,3.99e-05,2.086175943,2.036623551,1.071556676,-0.075348958,0.490882355,2.635216369,1.090542724,-0.000279558,29.67515778,-0.002663096,0.000732479,-91.30423161,1615.32769,128.4317101,13.64354659,-1.413747116,-14.80767347,184.258474,3.656072995,190.8469806,3.422855775,4.783819762,3.469328029,4740
-2.248865353,4.408830687,194.7293536,0,0.990382289,0,5.716603531,-3.915300378,-4.872896134,-72.71691097,-1.501383286,-3.898984329,-3.608160147,2.804309979,23.46757868,10.26024242,-1.253388566,-36.7954215,2.064445724,0.946205925,16.47719331,-2.416058428,75.82317156,84.5433917,43.1096749,57.26391208,22.03537387,46.50215255,3.348923685,23.79219819,0.901140207,4.967165248,3.045919376,5.827037276,14.96938045,14.23830262,4.891891491,2.225938418,1176.149707,-0.224650622,-0.107600349,0.455964305,0.570534499,0.2537397,2.33e-06,0.000508238,-0.021970093,0.002767559,1.9e-05,1.771631853,1.958790646,0.711979433,-0.039553426,0.424514923,2.195239805,1.1472636,-0.000585955,26.51057557,-0.008237905,-0.001729968,-80.62505012,1586.661323,129.1257508,12.84328301,3.124658525,-14.64671757,181.4573313,5.292745444,162.3892313,2.0808829,4.749772076,6.756846721,4741
-0.748172293,5.039524931,194.4450522,0,0.986373605,0,6.233733357,-4.606614198,-4.797118275,-75.11416306,-1.85039793,-4.314627141,-2.175001675,1.198662807,21.73628059,10.94305443,-1.947741757,-39.05787005,1.653152855,1.306220989,17.78533834,-2.809219531,66.79316065,73.4148803,42.1294371,53.65342311,29.6286854,50.58105464,5.142455383,30.19718462,2.760110691,8.810379784,5.919628012,9.542175292,21.23434646,22.12715132,8.327305148,3.26321953,1258.693836,-0.171364759,-0.110901079,0.485870264,0.817564214,0.455634821,1.48e-05,0.000273728,-0.012462396,0.004245905,4.79e-06,1.434790846,1.950489702,0.445212151,-0.012661297,0.32674622,1.897405364,1.14569361,-0.000478456,25.03541768,-0.007167103,-0.001954189,-65.84261852,1528.320342,127.7827138,9.658460603,6.162868174,-14.70562322,175.0090118,6.328571316,131.5844837,1.174714348,3.974370804,8.974476223,4742
0.998612835,5.475472327,194.0736009,0,0.983459895,0,6.547079333,-5.134835821,-4.512315762,-77.07890707,-2.089617128,-4.627999225,-0.806989929,-0.232485349,19.41513657,11.58980781,-3.409675818,-40.69460109,0.529472739,2.031744519,19.09778255,-3.105206329,59.47076238,63.80129772,40.96934302,49.72597014,37.01203355,52.05259862,7.047520434,34.72277769,5.700569596,13.48344093,9.71212895,13.72173098,27.48794161,31.00838768,12.2002341,4.704105165,1346.963294,-0.122984531,-0.108995485,0.7521296,1.12250966,0.61523114,1.41e-05,9.24e-05,-0.004604631,0.00320903,-1.83e-06,1.109686998,1.971957525,0.269656242,0.001312829,0.204678025,1.696996049,1.045019023,-0.000266324,24.4869228,-0.004176966,-0.001318357,-46.24840537,1445.376362,123.5687204,5.394988302,6.542012195,-14.88473964,165.5647791,6.418083082,101.0006708,1.060328346,2.751696141,9.325246243,4743
2.682622564,5.720295415,193.5841411,0,0.981397218,0,6.917930572,-5.47018332,-4.07339352,-78.55154424,-2.26880231,-4.800128166,0.489368511,-1.488372725,16.8540355,12.15485359,-5.279318597,-41.74785259,-1.028090031,2.919802016,20.37251552,-3.33746141,54.34597307,56.44541356,39.9635239,46.24483976,43.73444699,51.62485861,9.005460446,37.05201718,9.719031114,18.61026761,14.05762134,17.92468987,32.79034643,40.38909129,15.97476639,6.572877637,1438.459207,-0.082490197,-0.102535357,1.150811186,1.37143789,0.641436458,8.91e-06,-4.18e-06,-0.000190557,0.001676451,-3.36e-06,0.867516394,1.996718417,0.144065497,0.005691654,0.093388425,1.531597378,0.892249302,-9.53e-05,24.15077762,-0.001611705,-0.000615757,-23.22244219,1345.035103,115.7940235,1.849175848,4.144106658,-15.08131619,154.0619177,5.538111372,72.97989602,1.771708519,1.67973907,7.730387631,4744
3.922617257,5.769599476,192.9987503,0,0.980227576,0,7.668534902,-5.575228161,-3.54553109,-79.47250157,-2.444283645,-4.785312471,1.702044467,-2.558283636,14.48303363,12.57241961,-7.131695641,-42.27416102,-2.655321721,3.767258972,21.56385262,-3.542572965,50.74525095,50.84165315,39.01095254,43.31888829,49.54230145,50.17266227,11.10351993,37.66916202,14.56497888,23.67330877,18.38600863,21.72119194,36.56635739,49.71326517,19.32645135,8.758179023,1525.262529,-0.049908268,-0.093159222,1.496595312,1.518881913,0.518870417,3.04e-06,-3.6e-05,0.001413822,0.000531351,-2.53e-06,0.756647345,2.008425968,0.054034506,0.005135163,0.020894361,1.313243376,0.747899868,-1.02e-06,23.47041421,-0.000131122,-0.000146574,1.586208645,1234.235919,103.9851643,0.332061795,-0.188023248,-15.27662853,141.3134234,3.861872081,48.89213577,3.073202967,1.090045443,4.704998823,4745
