fold,test_subject,trial,n_windows,rmse_N_ground_force_left_vx,rmse_pctbw_ground_force_left_vx,pearson_r_ground_force_left_vx,rmse_N_ground_force_left_vy,rmse_pctbw_ground_force_left_vy,pearson_r_ground_force_left_vy,rmse_N_ground_force_left_vz,rmse_pctbw_ground_force_left_vz,pearson_r_ground_force_left_vz,rmse_N_ground_force_right_vx,rmse_pctbw_ground_force_right_vx,pearson_r_ground_force_right_vx,rmse_N_ground_force_right_vy,rmse_pctbw_ground_force_right_vy,pearson_r_ground_force_right_vy,rmse_N_ground_force_right_vz,rmse_pctbw_ground_force_right_vz,pearson_r_ground_force_right_vz,rmse_N_resultant,rmse_pctbw_resultant,pearson_r_resultant,peak_err_pctbw_ground_force_left_vx,impulse_err_pctbw_s_ground_force_left_vx,peak_lag_frames_ground_force_left_vx,peak_err_pctbw_ground_force_left_vy,impulse_err_pctbw_s_ground_force_left_vy,peak_lag_frames_ground_force_left_vy,peak_err_pctbw_ground_force_left_vz,impulse_err_pctbw_s_ground_force_left_vz,peak_lag_frames_ground_force_left_vz,peak_err_pctbw_ground_force_right_vx,impulse_err_pctbw_s_ground_force_right_vx,peak_lag_frames_ground_force_right_vx,peak_err_pctbw_ground_force_right_vy,impulse_err_pctbw_s_ground_force_right_vy,peak_lag_frames_ground_force_right_vy,peak_err_pctbw_ground_force_right_vz,impulse_err_pctbw_s_ground_force_right_vz,peak_lag_frames_ground_force_right_vz
5,z5,WX09.csv,10,7.303334569588473,1.0201820095084309,0.9365561236813315,77.81154461917086,10.86927309657863,0.976670150318428,21.543408768782193,3.0093374252517906,0.8738060256261119,24.43700050149649,3.4135350147843475,0.8569384085595458,71.28155859985647,9.957117943919167,0.9884251242119577,23.4714617454256,3.2786616553563985,0.9314701606317005,71.88457209168529,10.041351181489341,0.9776157728421113,0.2667356986483787,1.2935656699279816,73.0,3.3920796324350038,8.463824269614207,6.0,4.062458602675627,1.5647554564932147,5.0,6.921341902313155,5.03987328128135,5.0,16.395551454435946,12.911050056232314,4.0,5.258763240156713,2.0752887237017306,1.0
5,z5,WX10.csv,10,8.787518055597136,1.227503374401189,0.9261938550376995,83.98801309842577,11.732046390721555,0.9791770077288625,18.115234123834924,2.530465470954176,0.9214519709942698,22.441968019807817,3.134854608346603,0.846637002020714,68.98531138198791,9.63636170870464,0.9848177827953638,29.677673468652873,4.145589698554828,0.8872155938597112,74.73102791431658,10.438964489963665,0.9789584258331824,0.6439429379138973,1.7476746746813931,86.0,5.981430469034885,12.958089266327914,3.0,4.186031941774431,0.7410868798146749,1.0,6.5214386002658635,4.957749957165477,2.0,13.271248586315085,10.577113506646539,0.0,5.1420300123425005,2.8778505108706205,7.0
5,z5,WX11.csv,9,5.352492818585508,0.7476744804054206,0.9487361747617168,69.82687613118182,9.75391749213255,0.9881527475912973,15.996326480251003,2.234481295890425,0.9126912179399735,9.910307281698463,1.3843426042111155,0.9775744670452912,48.10460152699643,6.71959480766042,0.9928072318586167,15.203610095408836,2.1237490013812734,0.9670864400767339,54.836314283281716,7.659928593782945,0.9859994009380089,0.2609238820509251,0.3662584814326958,59.0,0.7635219269804269,11.54286037204804,46.0,2.756753392805771,2.143978367133032,1.0,2.3309454306105346,2.2579309496380993,1.0,4.690953807473777,7.1699710860998636,0.0,3.0180559636804607,2.5460242676714944,1.0
5,z5,WX12.csv,10,4.413734548332754,0.6165420107829757,0.9820398297023051,55.03633360762516,7.687868723638001,0.9877110699492275,20.229051112042534,2.8257385468642413,0.8991963738455706,14.002555152857537,1.9559770565049948,0.9155967152081307,107.84678803870322,15.064810723378052,0.9632555920536856,20.81744964408999,2.9079302623192005,0.9297260311592296,81.14030104472742,11.334257602906641,0.9685954190906944,0.2543549098326923,0.5137597032237701,64.0,2.906175263690275,5.438156961656848,1.0,2.259644310936896,2.977430430140687,1.0,2.6952201001827767,3.0664832203819086,9.0,8.923710479361608,16.80196532865447,13.0,2.5179648671837027,3.623072251411451,9.0
5,z5,WX13.csv,9,5.004409127394707,0.6990516607642615,0.9692181007602269,61.83800084856907,8.637974252524488,0.9851016246488724,24.121562634193676,3.3694723973219007,0.8566888397058277,14.259213114603343,1.9918288763381549,0.8282620439341624,87.28927512514801,12.193190282767727,0.9809294063258072,24.027882050736622,3.356386423377738,0.8875400798554464,72.44713388424036,10.119933836375688,0.9756999349315217,0.1679721169855653,0.7316756791714665,78.0,1.514527939665487,3.477000755862541,2.0,5.623981197774642,2.568951880035511,4.0,1.7345030730831146,2.5913004765013605,7.0,11.17020519389823,14.57691539123625,52.0,1.5462152420960165,2.9556476755692005,6.0
5,z5,WX14.csv,9,8.44529516182909,1.1796992328631752,0.8760107718928614,127.03870359080298,17.74567475715605,0.935010960376666,17.572397128211414,2.4546381167841047,0.8316906125040607,11.544461866520411,1.612613004848808,0.8936062333760152,72.7142352519168,10.157244465845311,0.9757186018692199,24.222788872279217,3.383612402274584,0.9137344889730084,101.48404369048828,14.176017083527578,0.9466817972642544,0.4312993497879668,0.43942586898080943,80.0,3.9711768340084994,9.98440328651546,45.0,1.74621480649218,1.8418004976790934,6.0,1.4893670691280063,1.988691457320883,2.0,4.0336010459678935,0.9656961464627172,2.0,2.4683285670894675,2.4989305756302143,1.0
5,z5,WX15.csv,11,9.350062993482458,1.3060836749067128,0.9352216841522408,86.95275633462582,12.146182931169479,0.9674769673338487,23.134175247579698,3.2315470649081774,0.8348421856000819,12.478854679681916,1.7431356762009784,0.8693873893711292,97.05422675489257,13.557228569863037,0.9744536127253043,22.071014641179268,3.0830371871895523,0.9270479874453816,87.78031571541088,12.261782344565164,0.9607352274325278,0.3209723485846815,1.667367565753046,83.0,1.5407150178386606,1.4504122421357077,0.0,1.9496613272915964,2.6171400013758253,6.0,1.1527131488551172,2.63752674216901,4.0,8.138234547401229,17.72364992780827,0.0,1.6700308567837587,4.282995191293127,5.0
5,z5,WX16.csv,10,8.746114353716862,1.2217198091841177,0.9222217600803426,83.77577131386903,11.702398940203217,0.9757112348257163,25.735820565383957,3.594963491070249,0.8080484792141494,15.066806225569147,2.1046392583574858,0.8973055175037816,84.7085899892266,11.832701724727972,0.973706250755225,21.125328542199806,2.950936988899524,0.8972600637101975,79.9561658042072,11.168849123027602,0.9666229143681357,0.17039798124943012,1.3052991829178153,83.0,2.108074713138027,6.12888761274482,8.0,5.446392184562314,2.3131596249023048,8.0,3.1271862851098695,3.299524360484603,2.0,1.285680528531432,10.349212968568864,4.0,2.313122988193982,2.881082134994085,3.0
5,z5,WX17.csv,11,8.465656436392237,1.1825434413274132,0.9575332487016402,60.67685425012655,8.47577699059627,0.9875756091191725,19.80849776396754,2.766992647212978,0.889018576598862,20.239466884863848,2.827193496510349,0.6797777385632116,106.63707706521974,14.895829642189229,0.9474957872143227,27.999172709495024,3.9111247071015374,0.6962386082229874,83.53421335175142,11.668656396320308,0.9644470090047006,0.6060080691875562,2.012253473987128,82.0,10.777583392313323,8.883538179155295,2.0,2.2343858019161034,1.580423582190334,5.0,4.885096317322299,4.253735461931658,6.0,8.820886161668446,2.6907117199378026,58.0,1.8800141648038147,2.595352943243456,9.0
5,z5,WX18.csv,12,7.33243680812852,1.0242472183403812,0.9131567399045937,94.45411823624701,13.194026814799354,0.9619271933923385,21.61370571623222,3.019157005667907,0.7937574757446739,21.298269140098572,2.975094568565204,0.7007326874495377,158.1506528639345,22.09161435868469,0.9097848688830202,29.588032200259228,4.133067965029772,0.7539357140101992,127.1480043965486,17.760942675472535,0.9198826290816491,0.45531487313603,0.5779052353249579,79.0,2.14899228921571,8.94907242351064,54.0,3.0196912173329484,1.539487665247109,5.0,3.5822834665687884,4.85827571477929,11.0,11.524585676556217,23.3787097584866,20.0,0.3409883264745341,3.10417661583096,12.0
