Subject_ID,Speed,Height,Weight,Insole_Size,Cycle_ID,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_adduction_r,knee_rotation_r,ankle_angle_r,ankle_adduction_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_adduction_l,knee_rotation_l,ankle_angle_l,ankle_adduction_l,Left_pressure1,Left_pressure2,Left_pressure3,Left_pressure4,Left_pressure5,Left_pressure6,Left_pressure7,Left_pressure8,Left_pressure9,Left_pressure10,Left_pressure11,Left_pressure12,Left_pressure13,Left_pressure14,Left_pressure15,Left_pressure16,Left_totalForce,Left_cop_x,Left_cop_y,Right_pressure1,Right_pressure2,Right_pressure3,Right_pressure4,Right_pressure5,Right_pressure6,Right_pressure7,Right_pressure8,Right_pressure9,Right_pressure10,Right_pressure11,Right_pressure12,Right_pressure13,Right_pressure14,Right_pressure15,Right_pressure16,Right_totalForce,Right_cop_x,Right_cop_y,Left_GRF_ML,Left_GRF_V,Left_GRF_AP,Right_GRF_ML,Right_GRF_V,Right_GRF_AP,Left_GRM_y,Left_GRM_x,Left_GRM_z,Right_GRM_y,Right_GRM_x,Right_GRM_z,time
10,2.7,1.66,61.6,43,44,-3.018211902,-0.289036591,180.1524666,0,0.954903862,0,-5.501583525,6.112547704,-10.67531878,-1.103628116,0.91891352,-0.274321687,10.84618032,4.760429648,19.91761938,1.09991949,1.010134173,-19.33914708,0.554718237,-1.414114879,8.629313726,-0.279389943,-0.003318222,0.220997297,1.12e-05,2.87e-05,-4.95e-07,-2.32e-06,-4.17e-07,-5.24e-07,-2.09e-05,-1.62e-05,3.03e-06,2.42e-05,0.00030136,-3.63e-06,-4.65e-07,5.7e-06,0.575548405,-1.84e-06,-2.74e-07,12.40339724,12.63948625,16.36900509,14.51711043,15.78491435,30.22176143,5.032183814,24.23914401,5.940116428,2.977982226,8.300938129,7.181817703,19.17214301,7.335764809,13.91417508,20.14269857,625.4780637,-0.021663306,-0.153334254,1.469641664,0.712663016,-0.855589303,26.84023901,683.9717639,-41.58144964,-0.377833814,-0.292340119,-1.585913448,-87.20956577,10.5125413,92.02545954,5703
10,2.7,1.66,61.6,43,44,-3.080436417,-0.342217135,180.1741531,0,0.954094386,0,-5.828730103,6.194923963,-10.73190702,-1.239598932,0.954107689,-0.278934701,11.19459993,4.791121181,19.41630152,1.205914399,0.6613415,-16.25264228,0.65765258,-1.242400361,8.625454865,0.114340491,-0.007710445,0.053821312,1.24e-05,4.81e-05,-8.77e-07,7.86e-07,-3.38e-07,1.54e-06,7.08e-05,1.68e-06,4.52e-06,-2.49e-05,0.000587888,9.26e-06,-1.15e-07,3.55e-06,0.117951189,-2.68e-06,-4.9e-07,11.63931764,12.21819772,16.25154433,13.97027782,15.63716704,30.43685733,5.040037673,24.44705877,6.303386596,2.963930136,8.550116986,7.589187756,19.37167552,7.723976012,14.22379142,20.416737,627.1602413,-0.015995836,-0.153858916,1.568752181,0.504750677,-0.657225141,28.73119018,687.5207672,-42.91239267,-0.481358665,-0.470739837,-1.832293009,-87.92249075,10.52493926,88.28865895,5704
10,2.7,1.66,61.6,43,44,-3.136575516,-0.400508916,180.1805549,0,0.953152711,0,-6.150585481,6.279357774,-10.78323781,-1.410777759,0.981301946,-0.277550777,11.56274111,4.819754331,18.92425258,1.307570162,0.267200792,-13.34200993,0.805365356,-1.080923076,8.624855734,0.581367884,-0.012246096,-0.024005287,2.67e-06,5.34e-05,-1.05e-06,8.89e-06,-3.57e-07,5.89e-06,0.000258707,7.11e-06,3.28e-06,-3.34e-05,0.000792325,1.02e-05,4.74e-08,9.98e-07,-0.100352761,-2.4e-06,-5.81e-07,10.83259606,11.74341495,16.15810732,13.35864426,15.47264798,30.67998644,5.028934964,24.6798806,6.831248683,2.974443656,8.714517346,7.874142533,19.6453038,7.986803882,14.45010299,20.68438645,628.2287081,-0.010400851,-0.154278421,1.715763765,0.129736718,-0.477606215,30.51928106,690.7649143,-44.06225255,-0.56685311,-0.796173786,-2.109349206,-88.57397763,10.61386502,84.46524143,5705
10,2.7,1.66,61.6,43,44,-3.190098211,-0.463934024,180.2213088,0,0.952329836,0,-6.459826359,6.368954449,-10.83761459,-1.625583536,0.996179362,-0.265213581,11.95361488,4.847096082,18.47776939,1.414104721,-0.167180012,-10.67259774,0.984798709,-0.936732444,8.621203253,1.150603681,-0.012424876,-0.042383705,-2.8e-05,1.26e-05,-4.54e-07,2.28e-05,-4.46e-07,1.22e-05,0.000525595,6.1e-06,1.48e-06,-2.44e-05,0.000546641,6.59e-06,5.02e-08,-7.36e-07,-0.147882132,8.39e-07,-2.22e-07,9.893681187,11.19234966,16.00655223,12.70457884,15.29676541,30.87937952,5.015507526,24.87137541,7.506154676,3.034694553,8.868730647,8.079355967,19.97850544,8.180550054,14.59665499,20.87893164,628.1304893,-0.004371534,-0.154526962,1.890331521,-0.375581973,-0.497109111,32.3731673,693.4722662,-45.08768598,-0.596499342,-1.111753923,-2.429254157,-89.13079228,10.94903087,80.676443,5706
10,2.7,1.66,61.6,43,44,-3.240726415,-0.532064383,180.2033756,0,0.951130976,0,-6.748801589,6.460959064,-10.89255276,-1.885988418,0.996213624,-0.239680164,12.35998005,4.870694592,18.08253702,1.528738946,-0.638570812,-8.268176418,1.185344126,-0.813875958,8.604474322,1.829516103,0.000116924,-0.033409702,-8.69e-05,-0.000117918,1.75e-06,3.9e-05,-4.3e-07,1.77e-05,0.000740006,3.13e-06,1.39e-07,-1.2e-05,-0.000734881,2.78e-06,-6.83e-08,-9.64e-07,-0.087412703,9.26e-06,1.05e-06,8.786650152,10.61933705,15.6652157,11.99570132,15.14940774,30.99372955,5.005729623,24.98534967,8.255524959,3.170118476,9.061928347,8.287115187,20.38070735,8.379834948,14.68585428,20.96806595,626.7409769,0.002471789,-0.154760318,1.78778004,-0.86672447,-0.678756349,34.27093072,695.3229126,-45.98698625,-0.565025636,-1.279428055,-2.695693665,-89.53503325,11.34426754,77.06869386,5707
10,2.7,1.66,61.6,43,45,-3.289627719,-0.605537288,180.220973,0,0.950057525,0,-7.020623207,6.558424689,-10.95646194,-2.195748433,0.9820042,-0.2011917,12.78694356,4.895361673,17.74820687,1.650146907,-1.151996782,-6.156807994,1.397964113,-0.717452561,8.575592597,2.600452579,0.036070258,-0.018162704,-0.000164978,-0.000369455,6.24e-06,4.45e-05,1.98e-08,1.47e-05,0.00057882,7.51e-07,-3.93e-07,-1.17e-06,-0.00364898,6.48e-07,-2.65e-07,9.92e-07,0.054306706,2.37e-05,3.59e-06,7.631780708,10.12583256,15.03153694,11.22919074,15.05358539,31.02514707,4.998924351,25.03065566,9.0010323,3.383210436,9.307682604,8.553563268,20.84675199,8.612915235,14.76758566,20.96698025,624.5951258,0.009992143,-0.155127873,1.308360371,-0.964883331,-0.996683688,36.15876068,695.9212552,-46.8053063,-0.458365897,-1.204629085,-2.68355181,-89.7277945,11.61558113,73.58754693,5708
10,2.7,1.66,61.6,43,45,-3.334807937,-0.684701181,180.2262292,0,0.948867284,0,-7.275889674,6.658781352,-11.03025536,-2.555897236,0.955246371,-0.151288156,13.22868717,4.924045382,17.46151679,1.772483304,-1.715607714,-4.35071937,1.608386347,-0.652561028,8.530795424,3.421974474,0.101589194,-0.006104971,-0.000216132,-0.000704806,1.26e-05,1.35e-05,1.31e-06,-9.29e-06,-0.000492994,1.68e-07,3.68e-08,7.78e-06,-0.008197141,6.8e-07,-4.57e-07,5.76e-06,0.268481785,4.05e-05,7.14e-06,6.60522467,9.731455153,14.12995739,10.45250886,14.98470952,30.99406135,4.991645733,25.03494314,9.657301536,3.639452363,9.609264737,8.861371769,21.2994804,8.875723797,14.87381164,20.92043059,622.0528346,0.017631481,-0.155654901,0.771863073,0.224460436,-1.375243447,38.11788006,694.9230879,-47.59613986,-0.230444105,-1.029724689,-2.110205273,-89.7011096,11.79200612,70.06812807,5709
10,2.7,1.66,61.6,43,45,-3.374820496,-0.770229766,180.2187291,0,0.947570105,0,-7.516925661,6.761155528,-11.11858448,-2.967999127,0.918184383,-0.091642617,13.68200672,4.961579489,17.21414382,1.888852641,-2.340421318,-2.877653811,1.79942618,-0.626834487,8.470701418,4.246010158,0.183313234,0.000882999,-0.000136199,-0.000928912,1.77e-05,-8.97e-05,3.69e-06,-6.85e-05,-0.003057858,1.97e-06,1.55e-06,1.54e-05,-0.012667044,2.69e-06,-4.58e-07,1.3e-05,0.511576119,4.61e-05,9.85e-06,5.767171194,9.329356022,13.12974871,9.739443545,14.89245793,30.92324421,4.980951389,25.02196823,10.12210605,3.897693004,9.989863715,9.160724412,21.63675421,9.187110962,15.03104252,20.89456746,619.1621981,0.02500512,-0.156330971,0.893732779,4.048250721,-1.7540497,40.23259205,692.2161011,-48.34136466,0.22927628,-0.941766176,-0.497594152,-89.49514697,11.99020426,66.3948752,5710
10,2.7,1.66,61.6,43,45,-3.40943927,-0.863121781,180.2454468,0,0.94642033,0,-7.747691504,6.86685363,-11.22864442,-3.43558841,0.872389125,-0.023245168,14.14880476,5.013384869,17.0044907,1.994286683,-3.037779876,-1.764748095,1.955295597,-0.646483944,8.398925108,5.032986436,0.240778315,0.004236203,0.000236807,-0.000597592,1.37e-05,-0.000292467,6.68e-06,-0.000166903,-0.007222539,6.21e-06,4.03e-06,1.96e-05,-0.01221578,5.87e-06,5.49e-08,1.99e-05,0.676446193,1.38e-05,7.29e-06,5.062087808,8.804495602,12.20761077,9.141419763,14.73686118,30.84536974,4.967760219,25.00539003,10.35113806,4.154022821,10.50671692,9.464619808,21.84594222,9.580312437,15.28244088,20.98210646,616.5651091,0.032257089,-0.157177981,2.690568305,11.7963612,-1.900876231,42.65786204,687.719215,-48.90751485,1.027439221,-1.107036394,2.645549507,-89.15000183,12.24379202,62.64822436,5711
10,2.7,1.66,61.6,43,45,-3.436448544,-0.962825375,180.2110519,0,0.944927129,0,-7.965147516,6.971377281,-11.35547689,-3.957200595,0.817864197,0.053224739,14.61975482,5.078726344,16.81786111,2.085477472,-3.805810674,-1.008624856,2.064924475,-0.707479232,8.311601628,5.750068265,0.236511093,0.005748203,0.001060902,0.000983226,-1.21e-05,-0.000568326,8.28e-06,-0.000274527,-0.011613405,1.17e-05,6.6e-06,1.3e-05,0.001916231,8.13e-06,1.48e-06,1.83e-05,0.680687648,-9.35e-05,-7.74e-06,4.469494679,8.150059642,11.40831829,8.677449809,14.52657588,30.80473356,4.960779992,24.9911288,10.45676493,4.42976822,11.19960488,9.853021548,22.02082113,10.02984412,15.65078241,21.29446362,615.8210037,0.039654116,-0.158092687,7.266944843,24.1235004,-1.371212456,45.25340537,681.1322677,-49.27999973,2.179095422,-1.704445267,7.612014065,-88.63392467,12.29328185,58.93726968,5712
10,2.7,1.66,61.6,43,45,-3.45659253,-1.067707985,180.2047198,0,0.943590712,0,-8.170927383,7.073593855,-11.50150346,-4.542511562,0.753164721,0.137095422,15.09741364,5.163303257,16.65090729,2.165047472,-4.625353133,-0.581146724,2.124986786,-0.780123904,8.204825567,6.351157806,0.177311531,0.005940215,0.002316681,0.004497195,-7.38e-05,-0.000764703,4.18e-06,-0.00029567,-0.012041822,1.47e-05,6.81e-06,-1.75e-05,0.04055135,5.31e-06,4.03e-06,-5.51e-06,0.587611617,-0.00030402,-4.28e-05,4.062609665,7.47191097,10.68299955,8.34731527,14.33855859,30.82107586,4.979898598,24.98259186,10.66573455,4.726596154,12.01439278,10.37767281,22.24891735,10.43981345,16.10956525,21.91158197,618.4733536,0.046997362,-0.158672366,13.96110017,40.74247373,-0.246328468,47.93410843,671.8756668,-49.59686466,3.583333727,-2.559028278,14.33091985,-87.79760949,12.02439362,55.36514184,5713
10,2.7,1.66,61.6,43,45,-3.46780508,-1.173408101,180.1698798,0,0.9421704,0,-8.35904643,7.163387559,-11.65582254,-5.201700011,0.675218468,0.227371258,15.56983459,5.269587193,16.47642786,2.23732116,-5.452707854,-0.405731591,2.13585699,-0.805639571,8.061101774,6.760367884,0.1020486,0.003380888,0.003494793,0.009879742,-0.000173476,-0.000526143,-1.2e-05,-4.59e-05,-0.000622858,7.45e-06,1.35e-07,-8.49e-05,0.109075134,-8.87e-06,7.11e-06,-6.83e-05,0.554858165,-0.000590014,-9.88e-05,3.8995188,6.890032942,9.999774332,8.120181015,14.27846616,30.86301341,5.055046739,24.98549247,11.13760007,5.025908245,12.80655298,11.01904411,22.52760436,10.73924711,16.62342829,22.7970939,624.8670449,0.053782924,-0.15840543,19.49197444,60.73420352,1.004680985,50.78862039,659.4917222,-49.94298488,5.146200635,-3.319981018,22.25598833,-86.48264677,11.72528393,51.90845203,5714
10,2.7,1.66,61.6,43,45,-3.468737319,-1.275059426,180.0950485,0,0.940675039,0,-8.524448702,7.230844208,-11.80884265,-5.947795727,0.580354725,0.323489501,16.02742612,5.401604807,16.26734846,2.308077488,-6.235546332,-0.397232868,2.099055615,-0.710846432,7.862206949,6.884408317,0.034506956,-0.005112748,0.003211778,0.014981993,-0.000278042,0.000712802,-4.59e-05,0.000720882,0.032876211,-2.17e-05,-1.92e-05,-0.000188918,0.191576991,-4.06e-05,8.51e-06,-0.000177194,0.652628121,-0.000792755,-0.000155904,3.906745227,6.417582346,9.352391544,7.912901664,14.39822316,30.8861642,5.213118409,25.01002963,11.8299312,5.312813761,13.46875074,11.70380519,22.8209801,10.96863196,17.17794799,23.78194122,633.7119483,0.059912019,-0.157172434,20.7964149,84.01004697,2.141609684,54.1397013,644.0227518,-50.17629098,6.867512161,-3.79118296,31.158499,-84.66953453,11.83286718,48.33308518,5715
